iter	Passed	Remaining
0	2104	1050376
1	3464	862759
2	5068	839679
3	6688	829388
4	7988	790869
5	9118	750792
6	10140	714176
7	12313	757303
8	13923	759582
9	15181	743905
10	16090	715314
11	17248	701425
12	18794	704071
13	20444	709707
14	21745	703107
15	22653	685279
16	23406	665015
17	24383	652926
18	25439	644024
19	26244	629871
20	27042	616825
21	27833	604737
22	28645	594091
23	29422	583537
24	30267	575080
25	31153	567948
26	32219	564444
27	33824	570183
28	34760	564556
29	36385	570035
30	37778	571549
31	39234	573802
32	41212	583219
33	42957	588765
34	44704	593932
35	46409	598170
36	48269	604021
37	49771	605113
38	51187	605063
39	52980	609270
40	54508	610233
41	56109	611866
42	57627	612464
43	59537	617021
44	61361	620434
45	63061	622386
46	64691	623519
47	66403	625302
48	68376	629345
49	70026	630239
50	71567	630075
51	74031	637808
52	75078	633206
53	77198	637602
54	79027	639400
55	80887	641324
56	82752	643149
57	84282	642291
58	85845	641659
59	87447	641278
60	89089	641152
61	90867	641932
62	92703	643037
63	94501	643791
64	95552	639469
65	97322	639971
66	98917	639274
67	100260	636946
68	101249	632444
69	102317	628523
70	104004	628422
71	105405	626577
72	106799	624702
73	108216	622975
74	109751	621924
75	111535	622249
76	113069	621149
77	114988	622116
78	116963	623314
79	119213	625869
80	120656	624138
81	122059	622204
82	123832	622144
83	125618	622112
84	127393	621981
85	129057	621277
86	130666	620291
87	132321	619507
88	132865	613569
89	134356	612067
90	135908	610841
91	137758	610926
92	139662	611210
93	140973	608886
94	142532	607640
95	144561	608361
96	146336	607974
97	148171	607804
98	150154	608202
99	151598	606394
100	152829	603752
101	153819	600198
102	155286	598530
103	156444	595694
104	158413	595936
105	160006	594741
106	161248	592250
107	161736	587043
108	163522	586580
109	164687	583890
110	166646	584014
111	168569	583971
112	170445	583738
113	172218	583125
114	174260	583394
115	176217	583339
116	178021	582753
117	179678	581672
118	181217	580200
119	182567	578131
120	184336	577384
121	186127	576690
122	187811	575650
123	189433	574410
124	190996	572990
125	192874	572501
126	194896	572412
127	196381	570733
128	197815	568912
129	199492	567785
130	201328	567102
131	203126	566292
132	205147	566084
133	206991	565365
134	208727	564337
135	210558	563554
136	212025	561789
137	213632	560398
138	215154	558783
139	217197	558507
140	219147	557970
141	221139	557521
142	222905	556483
143	224860	555904
144	226739	555119
145	228671	554451
146	230210	552817
147	231777	551254
148	234009	551257
149	235973	550605
150	237721	549435
151	239466	548252
152	241147	546916
153	242836	545593
154	244527	544270
155	246301	543127
156	247800	541373
157	249492	540040
158	251007	538324
159	252522	536610
160	254138	535111
161	255731	533562
162	257558	532497
163	259411	531477
164	261614	531156
165	263635	530447
166	265206	528825
167	266938	527522
168	268894	526651
169	270741	525556
170	272541	524364
171	274232	522954
172	276426	522494
173	278236	521293
174	280279	520518
175	282048	519224
176	283831	517953
177	285567	516589
178	287157	514958
179	288977	513737
180	290789	512496
181	292537	511136
182	294353	509890
183	295923	508217
184	297647	506805
185	299391	505424
186	301174	504105
187	302928	502731
188	304505	501065
189	306177	499552
190	308056	498374
191	309877	497095
192	311555	495582
193	313164	493960
194	314854	492465
195	316371	490698
196	317960	489045
197	318891	486389
198	320752	485157
199	322387	483581
200	324459	482653
201	326672	481923
202	328760	480994
203	330615	479716
204	331887	477594
205	333626	476146
206	335258	474545
207	337340	473573
208	339132	472188
209	340556	470292
210	342324	468871
211	344080	467430
212	345902	466075
213	347676	464651
214	349238	462944
215	350774	461203
216	352372	459545
217	354382	458421
218	355909	456669
219	357128	454527
220	358907	453100
221	360591	451551
222	362340	450082
223	364034	448542
224	365814	447106
225	367873	446006
226	369611	444510
227	371445	443128
228	372825	441204
229	374538	439675
230	376227	438117
231	377584	436174
232	379341	434696
233	381154	433277
234	382704	431560
235	384412	430020
236	386096	428453
237	387579	426662
238	389480	425331
239	390551	423097
240	392441	421752
241	394315	420385
242	396101	418922
243	397696	417255
244	399699	416013
245	401401	414455
246	402806	412590
247	404393	410916
248	405544	408802
249	407157	407157
250	408879	405621
251	410750	404230
252	412406	402625
253	413893	400857
254	415832	399525
255	417620	398045
256	419472	396621
257	421244	395121
258	423308	393889
259	424785	392109
260	426424	390480
261	428412	389168
262	430317	387776
263	431937	386126
264	433295	384242
265	434492	382222
266	436075	380545
267	437798	378989
268	439710	377595
269	441680	376246
270	443457	374729
271	445208	373189
272	446938	371629
273	448684	370082
274	450501	368591
275	452340	367116
276	453880	365398
277	455621	363841
278	457261	362203
279	459129	360744
280	461088	359353
281	462654	357655
282	463806	355639
283	465595	354114
284	467117	352386
285	468851	350819
286	470843	349440
287	472912	348115
288	474929	346747
289	476995	345410
290	478945	343984
291	480949	342593
292	482953	341199
293	484975	339812
294	486772	338265
295	488655	336775
296	490545	335288
297	492400	333774
298	494044	332117
299	495933	330622
300	497671	329025
301	498952	327127
302	501058	325770
303	502800	324174
304	504650	322645
