iter	Passed	Remaining
0	2040	1528706
1	3469	1297419
2	4591	1143280
3	5685	1060400
4	7005	1043792
5	8360	1036662
6	9488	1007183
7	10369	961740
8	11326	932550
9	12214	903878
10	13147	883292
11	14466	889696
12	15702	890235
13	17007	894085
14	17988	881448
15	18827	863725
16	19911	858543
17	21064	856604
18	22724	874287
19	24512	894698
20	25702	892250
21	27047	895016
22	28483	900339
23	29620	896013
24	30864	895058
25	32266	898487
26	34053	911889
27	35906	925883
28	37323	927927
29	39514	948339
30	40841	947270
31	42977	964305
32	44777	972898
33	46777	985087
34	49026	1001547
35	51169	1014870
36	52960	1020553
37	54568	1022441
38	56098	1022725
39	57594	1022308
40	59033	1020839
41	60229	1015291
42	61782	1015825
43	63329	1016146
44	64947	1017511
45	66529	1018197
46	68234	1020614
47	69914	1022501
48	71576	1023978
49	73259	1025632
50	74656	1023238
51	75870	1018413
52	77352	1017253
53	78904	1016988
54	81070	1024434
55	83105	1029911
56	84960	1032941
57	86865	1036400
58	88812	1040161
59	90395	1039544
60	91642	1035112
61	93117	1033303
62	94987	1035815
63	97069	1040458
64	98510	1038144
65	100031	1036692
66	101622	1035938
67	103092	1033957
68	104456	1030943
69	105968	1029411
70	107850	1031415
71	109290	1029154
72	111126	1030583
73	113154	1033682
74	115614	1040532
75	117205	1039423
76	119013	1040210
77	119477	1029348
78	121184	1029300
79	123052	1030566
80	124673	1029714
81	125991	1026371
82	127815	1027142
83	129480	1026595
84	131176	1026262
85	132532	1023276
86	134510	1025059
87	135995	1023058
88	137582	1021819
89	139445	1022602
90	141113	1021909
91	142699	1020609
92	144143	1018307
93	145976	1018732
94	147708	1018414
95	149543	1018766
96	151320	1018680
97	152964	1017680
98	154624	1016772
99	156354	1016301
100	157721	1013477
101	158387	1006226
102	158774	997347
103	160442	996594
104	160862	988154
105	161286	979890
106	163026	979680
107	163430	971501
108	165321	972212
109	167333	973574
110	169069	973292
111	171082	974559
112	173175	976220
113	175127	977029
114	176744	975937
115	178524	975728
116	180180	974822
117	182071	975160
118	184068	976029
119	185959	976286
120	187560	975005
121	189592	975937
122	191487	976117
123	193007	974375
124	194782	973913
125	195939	970369
126	197579	969230
127	199399	968958
128	201196	968550
129	203118	968719
130	205000	968665
131	207002	969147
132	208553	967501
133	210435	967373
134	212396	967583
135	213993	966117
136	215634	964845
137	217277	963577
138	219074	962983
139	221156	963611
140	223040	963343
141	224999	963376
142	226610	961904
143	227884	959012
144	229356	956970
145	230807	954848
146	232596	954120
147	233903	951418
148	235591	950269
149	237165	948661
150	238806	947317
151	240191	944964
152	241847	943678
153	243686	943097
154	245442	942184
155	247987	944259
156	250580	946460
157	252409	945735
158	254447	945774
159	256615	946270
160	258339	945106
161	260608	945913
162	262412	945007
163	264475	945015
164	266092	943417
165	267767	942024
166	269923	942309
167	271956	942133
168	274033	942090
169	275766	940849
170	277711	940320
171	278234	934997
172	280386	935162
173	282122	933921
174	284145	933622
175	285967	932644
176	287571	930950
177	289428	930072
178	290629	927090
179	292090	924952
180	293784	923554
181	295645	922674
182	297399	921451
183	299436	921093
184	301161	919764
185	303086	919035
186	305152	918721
187	307065	917929
188	309066	917386
189	310919	916393
190	312724	915250
191	314814	914930
192	316489	913390
193	318113	911705
194	319682	909866
195	321517	908778
196	323401	907822
197	325278	906836
198	326969	905326
199	328560	903541
200	330301	902167
201	332085	900905
202	333880	899668
203	335927	899100
204	337658	897678
205	339526	896613
206	341465	895728
207	343079	893987
208	344521	891798
209	346034	889803
210	347892	888693
211	349529	887014
212	351354	885809
213	353202	884655
214	354833	882957
215	356854	882224
216	358727	881112
217	360673	880174
218	362226	878274
219	363447	875578
220	364738	873061
221	366441	871536
222	368189	870117
223	370183	869269
224	371765	867452
225	373426	865821
226	374576	863011
227	375257	859142
228	376867	857415
229	378713	856221
230	380672	855276
231	382644	854353
